stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding
1341,5605,URAZURRUTIA 29,,43.252013914700747,-2.9228613494923845,1,0,1
4456,5606,MIRIBILLA / ESCUELA,,43.254314246649159,-2.9276922648942114,1,0,1
234,5701,CORTES fte. 2,,43.254856350908057,-2.9269724430399462,1,0,1
282,5702,CORTES 13,,43.255363199246361,-2.92836616945215,1,0,1
281,5703,CORTES 23,,43.256042946828821,-2.9302539750735312,1,0,1
233,5704,MUELLE DE LA MERCED 3,,43.257107263700782,-2.9271632597220076,1,0,1
4451,5706,CORAZON DE MARIA,,43.255651293935713,-2.9276767982281049,1,0,1
4452,5707,SAN FRANCISCO 36,,43.256773330899122,-2.9308649378479039,1,0,1
4453,5708,OLANO 10,,43.254358200620757,-2.9277827869320072,1,0,1
280,5801,Dr. FLEMING 1,,43.25653004426281,-2.9318111174885986,1,0,1
278,5802,JUAN DE GARAY 11,,43.2548977117979,-2.9334565359381188,1,0,1
277,5803,JUAN DE GARAY 33,,43.252713464322824,-2.9343383517124075,1,0,1
264,5804,ROTONDA JUAN DE GARAY,,43.25065085600982,-2.9337292299406847,1,0,1
276,5805,XENPELAR / ZABALA,,43.25280703925192,-2.9326246903531157,1,0,1
279,5806,ZABALA 22,,43.2543698984713,-2.9321058731210297,1,0,1
274,5901,GERNIKA 1,,43.252348736377748,-2.9307905881216683,1,0,1
272,5902,GERNIKA 10,,43.2505616102924,-2.9299840643981661,1,0,1
273,5903,GERNIKA 11,,43.251170798786028,-2.9292433299403875,1,0,1
271,5904,GERNIKA 23,,43.249421267927545,-2.9269222145340215,1,0,1
270,5905,GERNIKA 24,,43.249379004731331,-2.9279436778513248,1,0,1
266,5906,GOIKO TORRE 12,,43.247665117621281,-2.9316570182330373,1,0,1
269,5907,JULIÁN ZUGAZAGOITIA 13,,43.24879148995177,-2.9280801161408911,1,0,1
267,5908,FLORESTA,,43.24687851575564,-2.929863325038172,1,0,1
268,5909,MARTÍN BARÚA fte. 24,,43.248565874657196,-2.9300068134468478,1,0,1
265,5910,MARTÍN BARÚA 17,,43.249379888281759,-2.931618551119374,1,0,1
259,5911,SAN ADRIÁN fte. 33,,43.246947258955664,-2.9325947971568964,1,0,1
262,5912,SAN ADRIÁN 17 ,,43.248517752372095,-2.9331884854198025,1,0,1
263,5913,SAN ADRIÁN 2 ,,43.249659682549904,-2.9338145440862329,1,0,1
261,5914,SAN ADRIÁN 36 ,,43.24871912319793,-2.9334237000055796,1,0,1
260,5915,SAN ADRIÁN 33 ,,43.246972398253348,-2.9324858397119264,1,0,1
275,5916,XENPELAR / TRAVESÍA ZABALA,,43.2527433826463,-2.9326775717175511,1,0,1
1262,5919,MINA SAN LUIS,,43.253451770327274,-2.9295493689768355,1,0,1
4454,5920,CENTRO DE SALUD MIRIBILLA,,43.25359879317034,-2.9295315843164711,1,0,1
4455,5921,XENPELAR / GERNIKA,,43.252418387365523,-2.9312046157649871,1,0,1
303,6101,ALAMEDA RECALDE 11,,43.266656104511732,-2.9334048646021613,1,0,1
304,6102,ALAMEDA RECALDE 12,,43.266148859141268,-2.9337407565263964,1,0,1
305,6103,ALAMEDA RECALDE 31,,43.2636494008045,-2.9346392127258625,1,0,1
388,6104,ALAMEDA SAN MAMÉS 8,,43.257727919389467,-2.9351054017365135,1,0,1
387,6106,AUTONOMÍA 4,,43.257369581648931,-2.9353711742767166,1,0,1
317,6107,PUENTE DE DEUSTU / ZUBIARTE,,43.267578709511753,-2.9395763367016174,1,0,1
307,6108,ELCANO fte. 9,,43.262360299225108,-2.9346552704072439,1,0,1
314,6109,ELCANO 2,,43.265500956872415,-2.9368427349104489,1,0,1
312,6110,ELCANO 3,,43.263945890129222,-2.9356206497199846,1,0,1
323,6111,CONCHA 2 ,,43.261152689955914,-2.9341809401842136,1,0,1
389,6112,CONCHA  26,,43.258202749949206,-2.9354002116974405,1,0,1
287,6113,GRAN VÍA  7,,43.26155451719611,-2.9285256148667393,1,0,1
306,6114,GRAN VÍA  36,,43.262723274422022,-2.9335115993705556,1,0,1
291,6115,GRAN VÍA  37,,43.262713939209412,-2.933802003974098,1,0,1
310,6116,PALACIO CHÁVARRI,,43.263297237806015,-2.9360433071540539,1,0,1
288,6117,GRAN VÍA  8,,43.261742454709982,-2.9290231213970483,1,0,1
300,6118,HURTADO DE AMÉZAGA 1 ,,43.26066932434621,-2.9280356541858894,1,0,1
301,6119,HURTADO DE AMÉZAGA 2,,43.260868822576285,-2.9279692303280767,1,0,1
325,6120,HURTADO DE AMÉZAGA 15,,43.25794154496397,-2.9328843821264985,1,0,1
326,6121,HURTADO DE AMÉZAGA 50,,43.2576045454397,-2.9335771224291749,1,0,1
290,6122,IBÁÑEZ DE BILBAO 14,,43.263069741466765,-2.9275074892800448,1,0,1
327,6123,JUAN DE GARAY 7,,43.256347727538305,-2.9332615710236905,1,0,1
302,6124,MAZARREDO 3,,43.262618261081322,-2.9293102602516208,1,0,1
315,6125,MUSEO PLAZA 5,,43.265880628608521,-2.9370418462951835,1,0,1
286,6126,PLAZA CIRCULAR,,43.261463883245909,-2.9271728189567257,1,0,1
324,6128,URQUIJO 14,,43.259820135785532,-2.9325311385326014,1,0,1
756,6129,AYALA fte. 2,,43.26074259788944,-2.9290362924440112,1,0,1
775,6130,GRAN VÍA  2,,43.261491732385871,-2.9278842694040539,1,0,1
292,6131,GUGGENHEIM,,43.267302785160688,-2.935370783597504,1,0,1
390,6201,ALAMEDA SAN MAMÉS fte. 33,,43.259138634016068,-2.9375588586964914,1,0,1
398,6202,AUTONOMÍA 22 ,,43.257493159738644,-2.9379129333327794,1,0,1
404,6203,AUTONOMÍA 50,,43.257745394665335,-2.9429989762746454,1,0,1
316,6204,PUENTE DE  DEUSTU,,43.267588031120532,-2.9394376381742249,1,0,1
309,6205,GRAN VÍA  41,,43.263197835944624,-2.936100967749681,1,0,1
311,6206,GRAN VÍA  43,,43.263379122984531,-2.9369292923516417,1,0,1
321,6207,GRAN VÍA  62,,43.264223254397059,-2.9402348015015978,1,0,1
320,6208,GRAN VÍA  63,,43.26417848149277,-2.9405956596401923,1,0,1
318,6209,GREGORIO DE LA REVILLA 1,,43.263639140155966,-2.9392592269278226,1,0,1
394,6210,GREGORIO DE LA REVILLA 17,,43.261580758098567,-2.9400988033216868,1,0,1
319,6211,GREGORIO DE LA REVILLA 2,,43.263659802659852,-2.9393223499202756,1,0,1
393,6212,GREGORIO DE LA REVILLA 22,,43.261221106951993,-2.940313718793643,1,0,1
399,6213,GREGORIO DE LA REVILLA 35,,43.258623729168342,-2.9413046059307355,1,0,1
400,6214,GREGORIO DE LA REVILLA 36,,43.258378825493622,-2.9414638287796659,1,0,1
294,6215,IPARRAGUIRRE fte. 42,,43.260659230871106,-2.9374381617656065,1,0,1
313,6216,IPARRAGUIRRE 29,,43.262908534716594,-2.9365106726628922,1,0,1
308,6219,MOYÚA 4  ,,43.262923625943564,-2.9356607651372677,1,0,1
395,6221,URQUIJO 68,,43.261373064068358,-2.9420522307039838,1,0,1
410,6222,URQUIJO  92,,43.262154662110355,-2.9456184940380545,1,0,1
392,6223,URRUTIA 1,,43.259937464535632,-2.94013096538676,1,0,1
293,6224,GRAN VÍA  74 ,,43.264817670901046,-2.9429271200994833,1,0,1
391,6226,URQUIJO  / PLAZA BIZKAIA,,43.260304179273447,-2.9371354937515055,1,0,1
406,6228,MARÍA DÍAZ DE HARO fte.57,,43.258307348135055,-2.9456971007144781,1,0,1
559,6229,IPARRAGUIRRE 63,,43.258077192619865,-2.9385843235309617,1,0,1
1683,6231,GRAN VÍA  85,,43.264946064502254,-2.9441122457833311,1,0,1
384,7101,AMETZOLA,,43.254426697352976,-2.9435194734601957,1,0,1
386,7102,AUTONOMÍA 1 ,,43.257239101173845,-2.935361045509906,1,0,1
397,7103,AUTONOMÍA 13 ,,43.25735839220129,-2.9376724210240948,1,0,1
403,7104,AUTONOMÍA 43,,43.25761866240687,-2.9427922439458114,1,0,1
401,7106,GORDÓNIZ 22,,43.257163112087277,-2.9419143000468977,1,0,1
402,7107,GORDÓNIZ 39,,43.256657236742122,-2.9423446282589985,1,0,1
385,7108,PEDRO MARTÍNEZ ARTOLA 2,,43.256864135115514,-2.9350401090091691,1,0,1
336,7201,BERGARA fte.12,,43.251440341967871,-2.9357763238180774,1,0,1
329,7203,IRALA fte.19,,43.254924098891287,-2.936331474597059,1,0,1
333,7204,IRALA fte.53,,43.252035960932147,-2.9376690832887866,1,0,1
332,7205,IRALA 28,,43.253293074700913,-2.9376100242843233,1,0,1
334,7206,JUAN DE GARAY / GIÑA ESTRADA,,43.251280268564564,-2.9347453263374033,1,0,1
330,7207,JUAN DE GARAY / GOBIERNO MILITAR,,43.2538695019573,-2.9340804729077616,1,0,1
331,7208,MONASTERIO 5,,43.253098467413771,-2.9355039785887733,1,0,1
335,7209,ROTONDA ESKURTZE,,43.250834293785978,-2.9357990211082634,1,0,1
328,7210,URIZAR 24 / GOBIERNO MILITAR,,43.254545801394379,-2.9346475848621529,1,0,1
1293,7211,ESKURTZE fte. 10,,43.25203930591254,-2.9387785299248654,1,0,1
365,7301,ARTAZUGOIKOA,,43.246458318018377,-2.9421263348872708,1,0,1
373,7302,BENITO ALBERDI fte. 6 ,,43.252547647593595,-2.9451267989739454,1,0,1
363,7303,CAMILO VILLABASO fte. 27,,43.25172134526666,-2.947595490972287,1,0,1
371,7304,CIUDADELA 1,,43.252562699210706,-2.9456121034781328,1,0,1
372,7305,CIUDADELA 2A,,43.25222805423094,-2.94506270554978,1,0,1
379,7306,ERREKALDE-LARRASKITU 1,,43.251808639937273,-2.9440787459004709,1,0,1
376,7307,ERREKALDE-LARRASKITU 23,,43.250947989178925,-2.9422165678035075,1,0,1
368,7308,GORDÓNIZ fte. 54 ,,43.252276595282424,-2.9462359354645371,1,0,1
382,7310,GORDÓNIZ 36,,43.2543768153119,-2.944757449400087,1,0,1
383,7311,GORDÓNIZ 49A,,43.254355940437456,-2.944659234644877,1,0,1
369,7312,GORDÓNIZ 54 ,,43.252495702118566,-2.9462853218982126,1,0,1
367,7313,GORDÓNIZ 90,,43.249413081911037,-2.9469827486873159,1,0,1
370,7314,GOYA 7,,43.252884164134223,-2.9464891255105159,1,0,1
1491,7316,JAÉN 7,,43.252822646662665,-2.9432308041733042,1,0,1
571,7317,XALBADOR / fte. ALHÓNDIGA,,43.248942722417809,-2.9448472311889398,1,0,1
570,7318,XALBADOR / ALHÓNDIGA,,43.248926804674404,-2.9447654184080445,1,0,1
572,7319,XALBADOR / FILOMENA BALDEZATE,,43.250173057416355,-2.9448211742219441,1,0,1
364,7320,ARTAZUGOIKOA / ESCUELA,,43.246740568423661,-2.9416990733801938,1,0,1
568,7322,HIJAS DE LA CARIDAD fte.118,,43.246192502215045,-2.9410224915217804,1,0,1
569,7323,HIJAS DE LA CARIDAD 126,,43.246533562543569,-2.9411015185779164,1,0,1
1485,7324,AVENIDA FERROCARRIL,,43.25402247271915,-2.9425286864730684,1,0,1
3167,7325,LA ROSETA,,43.244425481505068,-2.9436400580473605,1,0,1
3963,7328,MATILDE ORBEGOZO,,43.246132091309534,-2.9427468681480136,1,0,1
6917,7329,GORDÓNIZ 99,,43.249722444108571,-2.9468880218841513,1,0,1
577,7401,ARTAZUBEKOA,,43.249705235003731,-2.9420202902592356,1,0,1
575,7402,ARTAZUBEKOA fte.10,,43.250598302050065,-2.9423614892808287,1,0,1
